time_s,x_m,y_m,cross_track_m,route_progress_m,confidence,mode
1783258771.8788412,55.81473923161282,1.1629478463225635,1.1930534794606094,55.929893761689456,0.5,track
1783258771.9788961,55.92276135807216,1.184552271614432,1.2151014269472402,56.040055147832646,0.5,track
1783258772.0789535,56.028344332548606,1.2056688665097217,1.2366515288137172,56.147729077264366,0.5,track
1783258772.1791148,56.13524198598347,1.2270483971966946,1.2584699644637738,56.2567437214287,0.5,track
1783258772.2789657,56.24095074448189,1.248190148896379,1.2800457394423026,56.36454592589692,0.5,track
1783258772.378859,56.34849457389754,1.2696989147795072,1.3019960633367629,56.47421954284829,0.5,track
1783258772.4788816,56.455299333071494,1.2910598666142992,1.3237955384545252,56.58313945308281,0.5,track
1783258772.5788798,56.56202566050859,1.3124051321017174,1.3455790050844636,56.691979378325975,0.5,track
1783258772.6789484,56.66898722030855,1.3337974440617097,1.3674104839808146,56.801059194450836,0.5,track
1783258772.7789016,56.77557352138777,1.3551147042775538,1.3891653702779334,56.90975632026776,0.5,track
1783258772.8789284,56.8823306376974,1.3764661275394796,1.4109551209654345,57.0186276441233,0.5,track
1783258772.9790053,56.98910023438254,1.397820046876508,1.4327474189979141,57.1275116955145,0.5,track
1783258773.0788243,57.09491260090902,1.4189825201818036,1.4543443406674588,57.23541955985408,0.5,track
1783258773.178876,57.20254955068332,1.440509910136665,1.476313670811807,57.34518814131064,0.5,track
1783258773.2788436,57.30943139000336,1.4618862780006716,1.498128878493856,57.454186658178955,0.5,track
1783258773.378896,57.41609020321621,1.4832180406432414,1.5198985653546175,57.562957732152746,0.5,track
1783258773.4789379,57.52286872127214,1.5045737442544276,1.5416926868847587,57.67185088159269,0.5,track
1783258773.5788376,57.62853094788574,1.5257061895771482,1.5632589672079147,57.77960563266317,0.5,track
1783258773.6788888,57.73605555351545,1.5472111107030901,1.5852053688050902,57.88925964512262,0.5,track
1783258773.779075,57.843106171176885,1.5686212342353776,1.6070550255199898,57.99843028280219,0.5,track
1783258773.8792498,57.94985310389182,1.589970620778363,1.628842697525501,58.10729122138811,0.5,track
1783258773.978902,58.056816974098865,1.6113633948197736,1.6506746471695046,58.21637339367514,0.5,track
1783258774.0789227,58.16248378414416,1.632496756828832,1.6722418585728132,58.32413281894715,0.5,track
1783258774.1788893,58.2690080099953,1.653801601999059,1.6939840732025269,58.43276664020421,0.5,track
1783258774.2789586,58.37689854719303,1.6753797094386058,1.7160051596716601,58.54279383110486,0.5,track
1783258774.3784943,58.48363430639308,1.6967268612786155,1.7377905486792855,58.6516433748967,0.5,track
1783258774.4788964,58.5906406775883,1.7181281355176594,1.7596311708525418,58.76076888985733,0.5,track
1783258774.5789154,58.69621098804457,1.7392421976089132,1.781178684260694,58.868429904471846,0.5,track
1783258774.678897,58.80288693649888,1.7605773872997752,1.802951864716889,58.97721845303175,0.5,track
1783258774.7788246,58.91075658193825,1.78215131638765,1.824968685629361,59.087224338435696,0.5,track
1783258774.8789408,59.016559066738836,1.8033118133477677,1.8465635868370949,59.195122125352654,0.5,track
1783258774.979678,59.124137721186344,1.8248275442372694,1.8685210148142501,59.304831257007436,0.5,track
1783258775.0788667,59.22996744373155,1.8459934887463114,1.8901214756564677,59.41275682108267,0.5,track
1783258775.1789463,59.33668003268755,1.8673360065375104,1.9119021350246728,59.52158273576919,0.5,track
1783258775.278835,59.44437347491016,1.8888746949820312,1.9338829927220913,59.631408928445,0.5,track
1783258775.3788664,59.55119090961398,1.9102381819227952,1.9556850525576253,59.740341765234334,0.5,track
1783258775.4788299,59.65791770271616,1.9315835405432327,1.9774686124290426,59.84918216536458,0.5,track
1783258775.5788696,59.76386677477253,1.9527733549545059,1.9990934353697944,59.95722944253708,0.5,track
1783258775.6789615,59.871457425934004,1.9742914851868005,2.0210533260191204,60.066950808487576,0.5,track
1783258775.778858,59.978128892069506,1.9956257784139007,2.042825600310413,60.17573478596127,0.5,track
1783258775.8788903,60.084921103824755,2.0169842207649515,2.064622515556071,60.28464190028922,0.5,track
1783258775.9788775,60.19165736338678,2.0383314726773554,2.0864080077035245,60.39349195435216,0.5,track
1783258776.0788221,60.29840180198793,2.0596803603975857,2.108195167000704,60.50235034943111,0.5,track
1783258776.1788409,60.404110431264385,2.0808220862528777,2.1297709098298836,60.610152422118276,0.5,track
1783258776.2788916,60.51191238417183,2.1023824768343653,2.1517739104747533,60.72008927441396,0.5,track
1783258776.3788896,60.618633673895495,2.123726734779099,2.1735563402458804,60.828924062177315,0.5,track
