route_progress_m,burial_depth_m,burial_sigma_m,accuracy_target_m,accuracy_pass
32.95378366491372,1.5,,0.15,False
33.0647828160201,1.5,,0.15,False
33.17581928143108,1.5,,0.15,False
33.28691476591025,1.5,,0.15,False
33.39794551250898,1.5,,0.15,False
33.50899392476511,1.5,,0.15,False
33.61993681310102,1.5,,0.15,False
33.730953014575086,1.5,,0.15,False
33.841965442203,1.5,,0.15,False
33.952991821948714,1.5,,0.15,False
34.06369430256573,1.5,,0.15,False
34.17523222878299,1.5,,0.15,False
34.28626986775983,1.5,,0.15,False
34.39712796242209,1.5,,0.15,False
34.50822171153941,1.5,,0.15,False
34.619328219803215,1.5,,0.15,False
34.73043289201541,1.5,,0.15,False
34.84118329129184,1.5,,0.15,False
34.952310487369616,1.5,,0.15,False
35.063506538467834,1.5,,0.15,False
35.17435252447879,1.5,,0.15,False
35.28545337116363,1.5,,0.15,False
35.39650965304264,1.5,,0.15,False
35.50750572617755,1.5,,0.15,False
35.61848877210858,1.5,,0.15,False
35.7295674024599,1.5,,0.15,False
35.84063775807837,1.5,,0.15,False
35.95180130668997,1.5,,0.15,False
36.062669624270455,1.5,,0.15,False
36.17409243199087,1.5,,0.15,False
36.28482018223739,1.5,,0.15,False
36.39597209404642,1.5,,0.15,False
36.50675987375593,1.5,,0.15,False
36.61794516802107,1.5,,0.15,False
36.72890826534509,1.5,,0.15,False
36.839672206391306,1.5,,0.15,False
36.950989413672644,1.5,,0.15,False
37.06193649326496,1.5,,0.15,False
37.172946388115825,1.5,,0.15,False
37.28393482032998,1.5,,0.15,False
37.395057560576106,1.5,,0.15,False
37.50613230063033,1.5,,0.15,False
37.61707269322896,1.5,,0.15,False
37.72823054709029,1.5,,0.15,False
37.839143300862624,1.5,,0.15,False
37.95020596182299,1.5,,0.15,False
38.06116631185622,1.5,,0.15,False
38.172310464510296,1.5,,0.15,False
38.28328764827416,1.5,,0.15,False
38.3945082541139,1.5,,0.15,False
38.50578042523986,1.5,,0.15,False
38.616359782122785,1.5,,0.15,False
38.72753463599182,1.5,,0.15,False
38.83885167171329,1.5,,0.15,False
38.94992200228744,1.5,,0.15,False
39.060547676962926,1.5,,0.15,False
39.171514418073734,1.5,,0.15,False
39.28253553798608,1.5,,0.15,False
39.393655513198055,1.5,,0.15,False
39.50471563287997,1.5,,0.15,False
39.61570265207136,1.5,,0.15,False
39.72681868847693,1.5,,0.15,False
39.837737720179064,1.5,,0.15,False
39.94898196943667,1.5,,0.15,False
40.05985002826623,1.5,,0.15,False
40.170825342653885,1.5,,0.15,False
40.28185942947284,1.5,,0.15,False
40.392970283073545,1.5,,0.15,False
40.503957376956485,1.5,,0.15,False
40.615037669302545,1.5,,0.15,False
40.7261303573831,1.5,,0.15,False
40.83704445763072,1.5,,0.15,False
40.94803293930705,1.5,,0.15,False
41.05908097239936,1.5,,0.15,False
41.170148026373894,1.5,,0.15,False
41.28120760645883,1.5,,0.15,False
41.39221832458257,1.5,,0.15,False
41.50328150995316,1.5,,0.15,False
41.61390456376515,1.5,,0.15,False
41.72534403489015,1.5,,0.15,False
41.836293250907005,1.5,,0.15,False
41.94740249512642,1.5,,0.15,False
42.05837188377116,1.5,,0.15,False
42.16955368993994,1.5,,0.15,False
42.2803795450377,1.5,,0.15,False
42.39141121764971,1.5,,0.15,False
42.50267700788364,1.5,,0.15,False
42.61358491691214,1.5,,0.15,False
42.724548678512235,1.5,,0.15,False
42.83549597805443,1.5,,0.15,False
42.94654626817441,1.5,,0.15,False
43.05764577921528,1.5,,0.15,False
43.16858022949332,1.5,,0.15,False
43.27963859165764,1.5,,0.15,False
43.390702468554245,1.5,,0.15,False
43.50173742577702,1.5,,0.15,False
43.61293891807982,1.5,,0.15,False
43.7238089708918,1.5,,0.15,False
43.83488272824222,1.5,,0.15,False
43.94587129650383,1.5,,0.15,False
44.0569597828096,1.5,,0.15,False
44.16791959667411,1.5,,0.15,False
44.27896048786898,1.5,,0.15,False
44.39015500447502,1.5,,0.15,False
44.504212774099365,1.5,,0.15,False
44.61208230678883,1.5,,0.15,False
44.723118992863434,1.5,,0.15,False
44.83420465465206,1.5,,0.15,False
44.945086099045525,1.5,,0.15,False
45.056089083576815,1.5,,0.15,False
45.16710633610623,1.5,,0.15,False
45.27836800177656,1.5,,0.15,False
45.38930069205065,1.5,,0.15,False
45.500359409065524,1.5,,0.15,False
45.61130049957787,1.5,,0.15,False
45.72229159641868,1.5,,0.15,False
45.83345904372079,1.5,,0.15,False
45.94438438915528,1.5,,0.15,False
46.05536266119426,1.5,,0.15,False
46.16636678330366,1.5,,0.15,False
46.277661275286746,1.5,,0.15,False
46.38856759225112,1.5,,0.15,False
46.49946232917914,1.5,,0.15,False
46.61056102472845,1.5,,0.15,False
46.721661068946666,1.5,,0.15,False
46.83257468783096,1.5,,0.15,False
46.94364191795183,1.5,,0.15,False
47.05473774310801,1.5,,0.15,False
47.16586056924319,1.5,,0.15,False
47.27688671762624,1.5,,0.15,False
47.3877698450405,1.5,,0.15,False
47.49886004840164,1.5,,0.15,False
47.60982337596275,1.5,,0.15,False
47.72088307124884,1.5,,0.15,False
47.83175020813486,1.5,,0.15,False
47.942921596557696,1.5,,0.15,False
48.053895391389766,1.5,,0.15,False
48.16489140719945,1.5,,0.15,False
48.27595703360025,1.5,,0.15,False
48.38701970637005,1.5,,0.15,False
48.49805207352188,1.5,,0.15,False
48.608995352373654,1.5,,0.15,False
48.72004967262568,1.5,,0.15,False
48.83106830066367,1.5,,0.15,False
48.94226651057003,1.5,,0.15,False
49.05329393723794,1.5,,0.15,False
49.16416620246298,1.5,,0.15,False
49.27525059151725,1.5,,0.15,False
49.38623276755795,1.5,,0.15,False
49.497467564063264,1.5,,0.15,False
49.608383255150144,1.5,,0.15,False
49.71948403731507,1.5,,0.15,False
49.830323437859455,1.5,,0.15,False
49.941538848544745,1.5,,0.15,False
50.05020111281365,1.5,,0.15,False
50.15904526959238,1.5,,0.15,False
50.26796859455594,1.5,,0.15,False
50.37701651672882,1.5,,0.15,False
50.48565416393807,1.5,,0.15,False
50.59454832237429,1.5,,0.15,False
50.703594864961566,1.5,,0.15,False
50.812301214130706,1.5,,0.15,False
50.921125293160756,1.5,,0.15,False
51.03001124678606,1.5,,0.15,False
51.13902447557815,1.5,,0.15,False
51.247774204717075,1.5,,0.15,False
51.35668806052141,1.5,,0.15,False
51.465543250773244,1.5,,0.15,False
51.57406662408636,1.5,,0.15,False
51.68340373763411,1.5,,0.15,False
51.79210912075676,1.5,,0.15,False
51.90111517229377,1.5,,0.15,False
52.01003319289922,1.5,,0.15,False
52.11867131073216,1.5,,0.15,False
52.227780156657445,1.5,,0.15,False
52.33652548369406,1.5,,0.15,False
52.44530714701122,1.5,,0.15,False
52.55423004059016,1.5,,0.15,False
52.663025431143176,1.5,,0.15,False
52.771882852890556,1.5,,0.15,False
52.88100845964638,1.5,,0.15,False
52.98985648386852,1.5,,0.15,False
53.10172404610059,1.5,,0.15,False
53.207350488547256,1.5,,0.15,False
53.316263555441125,1.5,,0.15,False
53.425300265464166,1.5,,0.15,False
53.53419343409478,1.5,,0.15,False
53.642850101850854,1.5,,0.15,False
53.75205643774435,1.5,,0.15,False
53.860558126748536,1.5,,0.15,False
53.969477061917026,1.5,,0.15,False
54.07834874611086,1.5,,0.15,False
54.187318052971435,1.5,,0.15,False
54.29612041537233,1.5,,0.15,False
54.40492820200145,1.5,,0.15,False
54.51388814905622,1.5,,0.15,False
54.622698276040595,1.5,,0.15,False
54.73147205398961,1.5,,0.15,False
54.84054076355578,1.5,,0.15,False
54.949311658570295,1.5,,0.15,False
55.05811415654132,1.5,,0.15,False
55.16702835211233,1.5,,0.15,False
55.27594278539072,1.5,,0.15,False
55.38479151262549,1.5,,0.15,False
55.49482186725634,1.5,,0.15,False
55.602481079509054,1.5,,0.15,False
55.71219922804853,1.5,,0.15,False
55.82006859021698,1.5,,0.15,False
55.929893761689456,1.5,,0.15,False
56.040055147832646,1.5,,0.15,False
56.147729077264366,1.5,,0.15,False
56.2567437214287,1.5,,0.15,False
56.36454592589692,1.5,,0.15,False
56.47421954284829,1.5,,0.15,False
56.58313945308281,1.5,,0.15,False
56.691979378325975,1.5,,0.15,False
56.801059194450836,1.5,,0.15,False
56.90975632026776,1.5,,0.15,False
57.0186276441233,1.5,,0.15,False
57.1275116955145,1.5,,0.15,False
57.23541955985408,1.5,,0.15,False
57.34518814131064,1.5,,0.15,False
57.454186658178955,1.5,,0.15,False
57.562957732152746,1.5,,0.15,False
57.67185088159269,1.5,,0.15,False
57.77960563266317,1.5,,0.15,False
57.88925964512262,1.5,,0.15,False
57.99843028280219,1.5,,0.15,False
58.10729122138811,1.5,,0.15,False
58.21637339367514,1.5,,0.15,False
58.32413281894715,1.5,,0.15,False
58.43276664020421,1.5,,0.15,False
58.54279383110486,1.5,,0.15,False
58.6516433748967,1.5,,0.15,False
58.76076888985733,1.5,,0.15,False
58.868429904471846,1.5,,0.15,False
58.97721845303175,1.5,,0.15,False
59.087224338435696,1.5,,0.15,False
59.195122125352654,1.5,,0.15,False
59.304831257007436,1.5,,0.15,False
59.41275682108267,1.5,,0.15,False
59.52158273576919,1.5,,0.15,False
59.631408928445,1.5,,0.15,False
59.740341765234334,1.5,,0.15,False
59.84918216536458,1.5,,0.15,False
59.95722944253708,1.5,,0.15,False
60.066950808487576,1.5,,0.15,False
60.17573478596127,1.5,,0.15,False
60.28464190028922,1.5,,0.15,False
60.39349195435216,1.5,,0.15,False
60.50235034943111,1.5,,0.15,False
60.610152422118276,1.5,,0.15,False
60.72008927441396,1.5,,0.15,False
