route_progress_m,cross_track_m,estimated_x_m,estimated_y_m
25.29207910275585,0.0027295021851333786,25.29207910275585,0.0
25.403124022184464,0.0027447007803238096,25.403124022184464,0.0
25.51424123822969,0.002759909200560508,25.51424123822969,0.0
25.625446106110356,0.0027751295718303165,25.625446106110356,0.0
25.73631487730002,0.002790303418817073,25.73631487730002,0.0
25.84741958547526,0.002805509763951297,25.84741958547526,0.0
25.958390270227742,0.0028206975273285706,25.958390270227742,0.0
26.069482812922008,0.0028359020451106027,26.069482812922008,0.0
26.180609454376857,0.002851111234419922,26.180609454376857,0.0
26.291918414010944,0.002866345568889766,26.291918414010944,0.0
26.402578091528824,0.0028814902479968613,26.402578091528824,0.0
26.51347715046219,0.002896668017047109,26.51347715046219,0.0
26.62460306936808,0.002911877118765603,26.62460306936808,0.0
26.73578295669718,0.002927093693104251,26.73578295669718,0.0
26.846618260849574,0.00294226271436677,26.846618260849574,0.0
26.957778029750095,0.0029574765752914817,26.957778029750095,0.0
27.068826653630236,0.0029726764639678477,27.068826653630236,0.0
27.179809964339768,0.0029878678214401086,27.179809964339768,0.0
27.290835275974818,0.0030030641077181484,27.290835275974818,0.0
27.401800477043007,0.0030182515274286667,27.401800477043007,0.0
27.5129915956834,0.0030334697260597145,27.5129915956834,0.0
27.623871425998026,0.0030486446857631933,27.623871425998026,0.0
27.734974043646304,0.0030638498565423965,27.734974043646304,0.0
27.846042653354573,0.0030790505364718702,27.846042653354573,0.0
27.957116754141502,0.003094251800410692,27.957116754141502,0.0
28.068048112879907,0.003109433202444673,28.068048112879907,0.0
28.179323794795852,0.003124661974352946,28.179323794795852,0.0
28.29022552399453,0.003139839017422342,28.29022552399453,0.0
28.401272431004703,0.0031550359775912246,28.401272431004703,0.0
28.51229485781458,0.003170229492337115,28.51229485781458,0.0
28.62325170877676,0.0031854139162330567,28.62325170877676,0.0
28.73405733384733,0.0032005774458614723,28.73405733384733,0.0
28.845433661102366,0.003215819684387639,28.845433661102366,0.0
28.957686494843355,0.003231182730443714,28.957686494843355,0.0
29.06745992187662,0.00324620385738298,29.06745992187662,0.0
