run_id,scenario,seed,mpc_mode,status,valid_run,invalid_reason,effective_sample_count,failure_event_count,capability_gate_status,solver_wall_time_current_ms,fallback_type,arm,arm_label,rmse_xy_m,rmse_z_m,rmse_3d_m,depth_equiv_error_m,depth_equiv_bias_m,current_speed_mps,target_loss_ratio,reacquire_success_ratio,mag_nis_mean,mag_nis_p95,mag_updates,sonar_input
mag_weak__seed2,mag_weak,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,6_fusion_adaptive_r,声磁融合(自适应R),17.320898,0.0196884686,17.3209092,0.306671079,-0.00884077534,0,0,nan,1.2937205,5.4363015,240,confidence_only
em_noise__seed0,em_noise,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,16.6068725,0.0085279773,16.6068747,nan,nan,0,1,0,nan,nan,0,disabled
em_noise__seed1,em_noise,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,14.102058,0.0107342912,14.1020621,nan,nan,0,1,0,nan,nan,0,disabled
em_noise__seed2,em_noise,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,1_imu_dvl,IMU+DVL,34.1050736,0.00990209743,34.1050751,nan,nan,0,1,0,nan,nan,0,disabled
em_noise__seed0,em_noise,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,14.1159548,0.0453800456,14.1160277,0.642270667,0.0325879262,0,0,nan,9.94904527,38.8557641,240,disabled
em_noise__seed1,em_noise,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,26.3928172,0.0393141666,26.3928465,0.585233179,-0.0965071381,0,0,nan,8.27649347,31.745758,240,disabled
em_noise__seed2,em_noise,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,2_imu_dvl_mag,+磁,33.2108277,0.038977261,33.2108505,0.61225699,-0.0383703733,0,0,nan,9.13582757,33.6645398,240,disabled
em_noise__seed0,em_noise,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,16.6068725,0.0085279773,16.6068747,nan,nan,0,0,nan,nan,nan,0,confidence_only
em_noise__seed1,em_noise,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,14.102058,0.0107342912,14.1020621,nan,nan,0,0,nan,nan,nan,0,confidence_only
em_noise__seed2,em_noise,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,3_imu_dvl_sonar,+声呐,34.1050736,0.00990209743,34.1050751,nan,nan,0,0,nan,nan,nan,0,confidence_only
em_noise__seed0,em_noise,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,9.63241577,0.0386752052,9.63249341,0.642270667,0.0325879262,0,0,nan,8.10705759,31.7915656,240,confidence_only
em_noise__seed1,em_noise,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,26.661675,0.0331764603,26.6616957,0.585233179,-0.0965071381,0,0,nan,6.74536593,25.6759897,240,confidence_only
em_noise__seed2,em_noise,2,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,4_imu_dvl_mag_sonar,+磁+声呐,32.3447495,0.0332202965,32.3447666,0.61225699,-0.0383703733,0,0,nan,7.42989582,27.4800669,240,confidence_only
em_noise__seed0,em_noise,0,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),9.63241577,0.0386752052,9.63249341,0.642270667,0.0325879262,0,0,nan,8.10705759,31.7915656,240,confidence_only
em_noise__seed1,em_noise,1,,ok,True,,not_observed,0,not_observed,not_observed,not_observed,5_fusion_fixed_r,声磁融合(固定R),26.661675,0.0331764603,26.6616957,0.585233179,-0.0965071381,0,0,nan,6.74536593,25.6759897,240,confidence_only
