scenario,controller,variant,metric,value
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,mean_solve_ms,10.11602756309161
s_turn_short_wave,mpc_preview_speed,xy_v1_balanced,max_solve_ms,24.446999999781838
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,lateral_rmse_m,1.856621070671714
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,lateral_p95_m,3.461663035840158
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,lateral_max_m,3.968461057890995
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,yaw_rmse_deg,67.57766301711652
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,yaw_p95_deg,116.45472195280536
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,progress_pct,66.14987080103359
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,mean_speed_mps,1.0141702316773662
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,cmd_smoothness_deg2,1122.085836731798
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,solve_success_rate,1.0
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,mean_solve_ms,13.244251560915828
s_turn_short_wave,mpc_preview_speed,xy_v2_track_hard,max_solve_ms,33.837374998256564
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,lateral_rmse_m,1.654606787597967
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,lateral_p95_m,3.0777840093500055
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,lateral_max_m,3.5989261802484873
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,yaw_rmse_deg,68.92635017735637
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,yaw_p95_deg,113.99687480992048
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,progress_pct,55.29715762273902
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,mean_speed_mps,0.8665378136709275
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,cmd_smoothness_deg2,1101.7595546258387
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,solve_success_rate,1.0
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,mean_solve_ms,14.529449184769677
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,max_solve_ms,43.77254200153402
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,lateral_rmse_m,1.8614228924185898
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,lateral_p95_m,3.444876980846554
s_turn_short_wave,mpc_preview_speed,xy_v4_short_realtime,lateral_max_m,3.947220325113569
