scenario,controller,variant,seed,lateral_rmse_m,lateral_p95_m,yaw_rmse_deg,solve_success_rate,current_x_mps,current_y_mps,lateral_offset_m,yaw_noise_std_deg
s_turn_long_wave,pid_los_fixed_speed,baseline,4,1.068783762987211,1.7288002176257715,7.200489163186831,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
s_turn_long_wave,mpc_preview_speed,xy_v4_short_realtime,4,0.13085130090550431,0.1496831966934686,2.9513880676042925,1.0,-0.09472836169123805,0.03541711001915368,0.7619899291323267,0.12125403584340329
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,0,2.8354987623103263,5.142717748232158,60.55955370613545,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
s_turn_short_wave,pid_los_fixed_speed,baseline,0,1.730712475362199,3.757107576073699,60.92934839291669,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,0,1.920758271528739,3.5711955363898826,67.0962993020237,1.0,0.05019134568652066,0.05836561200784218,-0.7344423617020885,0.02479145329279364
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,1,3.1807203464267655,5.356253091062592,56.13462263209084,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
s_turn_short_wave,pid_los_fixed_speed,baseline,1,1.6901953923379982,3.7000967770589086,61.623747798048626,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,1,2.0907773095480864,4.057658053426358,69.96673603158963,1.0,0.144646432932703,0.010763771803601609,-0.5693446196485861,1.4229741707058658
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,2,2.321197070188057,4.47360683895571,58.697440220129565,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
s_turn_short_wave,pid_los_fixed_speed,baseline,2,1.6149496051642158,2.96633224961421,66.3474164749631,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
s_turn_short_wave,mpc_preview_speed,xy_v3_speed_flexible,2,1.601956475053644,2.9606283902916375,69.43219363310646,1.0,0.005820719024212909,-0.07963667679624198,0.5027611849508486,0.13787391320264536
s_turn_short_wave,pid_yaw_only_fixed_speed,baseline,3,2.6332328207589164,4.6608840367882385,58.463124565427954,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
s_turn_short_wave,pid_los_fixed_speed,baseline,3,1.663187869898108,3.5175584210294994,60.882231426983914,1.0,-0.06326686600296992,-0.03776507503588814,0.482039144330235,0.8732430540965517
